,,,,,,,,,,,
,,,,,,,Comprado,#NAME?,Setor, ,5.5
,,,,,,,Tota Orçado,#NAME?,23281362.249999996,custo de importação,1.5
,,,,,,,,,,,
SETOR,COTACAO,"DT
COTACAO",PEDIDO,"DT
PEDIDO",FORNECEDOR ,PRODUTO,"QT
PEDIDA",VALOR,ORIGEM,"STATUS DA 
COMRPA ",DISCIPLINA
SETOR 4,,46009,,,TXK,GUINDASTE COM GANCHO – HOOK CRANE,1,7585.85,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,TXK,GUINDASTE COM GANCHO – HOOK CRANE,1,9054.05,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,LUZHONG,FURADEIRA RADIAL,1,25829.84,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,BETTER,PALETEIRA ELÉTRICA – 2 METROS / 2 TONELADAS,1,233827.73,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,BOHUI MACHINERY,SUPORTE DE TUBO,1,18896.57,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 6,,46009,,,PUHUA GROUP,CABINE DE JATEAMENTO COM RECUPERAÇÃO – RECOVERY SAND BLASTING BOOTH,1,419802.27,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 6,,46009,,,QINGGONG,CABINE DE JATEAMENTO COM RECUPERAÇÃO – RECOVERY SAND BLASTING BOOTH,1,774894.02,CHINA,Orçamento não Apravado,OPERACIONAL
SETOR 4,,46009,,,HUAGONG,CORTE A LASER & BISEL – LASER CUT & BEZEL,1,2127560.05,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,HUAGONG,CORTE A LASER & BISEL – LASER CUT & BEZEL,1,2175141.24,CHINA,Cancelado,OPERACIONAL
SETOR 4,,46009,,,NUOMAN,PALETEIRA ELETRICA 2 TON - ELECTRIC STACKER,1,44467.5,CHINA,Orçamento não Apravado,OPERACIONAL
