row_key;item_id;setor;cotacao;data_cotacao;pedido;data_pedido;fornecedor;produto;quantidade;valor;origem;status_compra;disciplina;source_row
xlsx-25-05-26-row-0189;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Cavalete;1.0;7414.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;189
xlsx-25-05-26-row-0190;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Silos de armazenagem 150 litros cada (02 unidades);2.0;8536.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;190
xlsx-25-05-26-row-0191;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Máquinas de jato com acessórios e E.P.I (02 unidades);2.0;82465.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;191
xlsx-25-05-26-row-0192;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Coletor de pó DC 02 com exaustor;1.0;39657.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;192
xlsx-25-05-26-row-0193;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 1;Quadro elétrico e de comando;1.0;36078.0;BRASIL;Orçamento não Aprovado;ELÉTRICA;193
xlsx-25-05-26-row-0194;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Sistema transportador vertical – elevador de canecas 7030;1.0;64544.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;194
xlsx-25-05-26-row-0195;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Separador de abrasivos;1.0;31948.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;195
xlsx-25-05-26-row-0196;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Cavalete com silo 800 litros;1.0;35484.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;196
xlsx-25-05-26-row-0197;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Silos de armazenagem 150 litros cada (02 unidades);2.0;8536.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;197
xlsx-25-05-26-row-0198;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Máquinas de jato com acessórios e E.P.I (02 unidades);2.0;82465.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;198
xlsx-25-05-26-row-0199;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Coletor de pó DC 02 com exaustor;1.0;39657.0;BRASIL;Orçamento não Aprovado;OPERACIONAL;199
xlsx-25-05-26-row-0200;06;SETOR 6;;2026-09-02;;;ANCO BLAST Equipamentos - opção 2;Quadro elétrico e de comando;1.0;36078.0;BRASIL;Orçamento não Aprovado;ELÉTRICA;200
xlsx-25-05-26-row-0201;07;SETOR 7;;;;;SORDI;FORNECIMENTO DE MÃO DE OBRA E EQUIPAMENTOS PARA EXECUÇÃO DE PROJETO ESTRUTURAL DE PÓRTICO;1.0;13915.66;BRASIL;Cancelado;PROJETO;201
xlsx-25-05-26-row-0202;07A;SETOR 7A;;;;;AWC SOL ENGENHARIA;GALPÃO PRÉ-MOLDADOS - ESTRUTURA (GALPÃO);1.0;148500.0;BRASIL;Cancelado;ESTRUTURAL;202
xlsx-25-05-26-row-0203;07A;SETOR 7A;;;;;AWC SOL ENGENHARIA;GALPÃO PRÉ-MOLDADOS - TELHA;1.0;15282.42;BRASIL;Cancelado;ESTRUTURAL;203
xlsx-25-05-26-row-0204;07A;SETOR 7A;;;;;AWC SOL ENGENHARIA;GALPÃO PRÉ-MOLDADOS - PAINÉIS DE FECHAMENTO;1.0;109200.0;BRASIL;Cancelado;ESTRUTURAL;204
xlsx-25-05-26-row-0205;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;COLUNA DE FERRO 5/16 20X7;18.0;1782.0;BRASIL;Comprado;CIVIL;205
xlsx-25-05-26-row-0206;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;PEDRA BRITADA;3.0;597.0;BRASIL;Comprado;CIVIL;206
xlsx-25-05-26-row-0207;07B;SETOR 7B;41850;19/02/2026;42699;03/03/2026;EDFER - COMERCIO DE FERRO E ACO LTDA;"PERFIL AC U SIMPLES 5"" 130 X 40 X 2,65 ESP";60.0;1938.0;BRASIL;Comprado;ESTRUTURAL;207
xlsx-25-05-26-row-0208;07B;SETOR 7B;41850;19/02/2026;42693;03/03/2026;LAGOS TELHAS LTDA;TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M;15.0;4132.8;BRASIL;Comprado;ESTRUTURAL;208
xlsx-25-05-26-row-0209;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;RADIES 5/16 70X70;4.0;159.6;BRASIL;Comprado;CIVIL;209
xlsx-25-05-26-row-0210;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;MALHA 3.4 Q.61 15 X 15 3 X 2;15.0;1198.5;BRASIL;Comprado;CIVIL;210
xlsx-25-05-26-row-0211;07B;SETOR 7B;41850;19/02/2026;;;;BETONEIRA 400L PRIME C/MOTOR MONO 2CV 220V 60HZ 4P C/KIT SEGURANCA BIVOLT;1.0;0.0;BRASIL;Em Orçamento;CIVIL;211
xlsx-25-05-26-row-0212;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;SACO DE CIMENTO CPIII;25.0;997.5;BRASIL;Comprado;CIVIL;212
xlsx-25-05-26-row-0213;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;AREIA;4.0;596.0;BRASIL;Comprado;CIVIL;213
xlsx-25-05-26-row-0214;07B;SETOR 7B;41850;19/02/2026;42692;03/03/2026;RIOS & CORTES LTDA;CARRINHO DE MAO;1.0;179.0;BRASIL;Comprado;CIVIL;214
xlsx-25-05-26-row-0215;07C;SETOR 7C;;;;;ENTER;CONSTRUÇÃO DO LABORATORIO - OPÇÃO 1;1.0;38376.75;BRASIL;Em Orçamento;ESTRUTURAL;215
xlsx-25-05-26-row-0216;07C;SETOR 7C;;;;;ENTER;CONSTRUÇÃO DO LABORATORIO - OPÇÃO 2;1.0;40894.8;BRASIL;Em Orçamento;ESTRUTURAL;216
